steamid,appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,header_image,background,short_description
2873,288860,Realms of Arkania: Star Trail,2017-08-10,1,Crafty Studios,United Independent Entertainment GmbH,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,Adventure;Indie;RPG,RPG;Adventure;Indie,82,84,27,0,0,0-20000,22.99,https://steamcdn-a.akamaihd.net/steam/apps/288860/header.jpg?t=1503309431,https://steamcdn-a.akamaihd.net/steam/apps/288860/page_bg_generated_v6b.jpg?t=1503309431,"Star Trail is a faithful remake of Realms of Arkania’s classic sequel. This hardcore RPG features dozens of talents and spells, distinct races and character classes as well as a challenging isometric turn-based combat system."
19997,790050,Porcelain Panic,2018-02-19,1,Alone Games,Alone Games,windows,0,Single-player,Action;Casual;Indie;Simulation,Action;Indie;Casual,0,3,0,0,0,0-20000,0.79,https://steamcdn-a.akamaihd.net/steam/apps/790050/header.jpg?t=1519028667,https://steamcdn-a.akamaihd.net/steam/apps/790050/page_bg_generated_v6b.jpg?t=1519028667,"Learn how to use the correct bog in this fast paced bog simulator that features a princess, a bog-lord and a lack of pants."
1510,221540,DG2: Defense Grid 2,2014-09-23,1,Hidden Path Entertainment,505 Games,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Indie;Strategy,Tower Defense;Strategy;Sci-fi,65,1579,354,3601,3601,100000-200000,10.99,https://steamcdn-a.akamaihd.net/steam/apps/221540/header.jpg?t=1527182555,https://steamcdn-a.akamaihd.net/steam/apps/221540/page_bg_generated_v6b.jpg?t=1527182555,"Setting the bar as the definitive tower defense game, Defense Grid 2 introduces new worlds and threats to test your tower placement strategies. With a bold new look and the addition of new game modes, player-versus-player and multiplayer co-op, every play brings fun new opportunities and challenges."
6459,392160,X4: Foundations,2018-11-30,1,Egosoft,Egosoft,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,Action;Simulation,Space;Simulation;Sandbox,44,3557,1714,873,873,100000-200000,39.99,https://steamcdn-a.akamaihd.net/steam/apps/392160/header.jpg?t=1551798864,https://steamcdn-a.akamaihd.net/steam/apps/392160/page_bg_generated_v6b.jpg?t=1551798864,"X4: FOUNDATIONS, the long awaited sequel in the successful X series, brings our most sophisticated universe SIMULATION ever. Fly every ship, EXPLORE space or manage an empire; TRADE, FIGHT, BUILD and THINK carefully, while you embark on an epic journey."
25143,959440,Blockz VS Ballz,2018-10-24,1,hallunazigames,hallunazigames,windows,0,Single-player,Action;Casual;Indie,Action;Indie;Casual,0,1,4,0,0,0-20000,0.79,https://steamcdn-a.akamaihd.net/steam/apps/959440/header.jpg?t=1540372905,https://steamcdn-a.akamaihd.net/steam/apps/959440/page_bg_generated_v6b.jpg?t=1540372905,"This is a symbiosis of several games. Collect balls in the squad and attack the cubes. The more blocks the squad wins, the more points the player gains. Play without any sounds and music. Just relax while controlling the balls."
22136,854870,Perseverance: Part 1,2018-07-23,1,Tap It Games;Bit Golem,Tap It Games,windows,18,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Violent;Adventure;Indie,Adventure;Indie;Violent,13,28,1,0,0,0-20000,2.99,https://steamcdn-a.akamaihd.net/steam/apps/854870/header.jpg?t=1533988019,https://steamcdn-a.akamaihd.net/steam/apps/854870/page_bg_generated_v6b.jpg?t=1533988019,"Perseverance is a horror/drama visual novel about survival and redemption. In Part 1 you play as Jack, a father who is struggling to keep his family together and finds himself in the middle of horrific events."
19640,779840,Forgotten Sound 1: Revelation,2018-01-18,1,RSK Entertainment,Strategy First,windows,0,Single-player,Adventure,Adventure;Indie;Puzzle,0,0,2,0,0,0-20000,7.19,https://steamcdn-a.akamaihd.net/steam/apps/779840/header.jpg?t=1516294678,https://steamcdn-a.akamaihd.net/steam/apps/779840/page_bg_generated_v6b.jpg?t=1516294678,"“Music is the melody of life”. Prince Shahbaz remembers hearing this sentence constantly from his mother. Following her death, Shahrdad Shah, his father, had forbidden playing all instruments as he couldn’t bear the memory of his beloved wife that accompanied the music."
5221,359250,City of Fools,2015-07-10,1,Absolutist Ltd.,Absolutist Ltd.,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Indie,Adventure;Indie;Casual,6,47,20,0,0,20000-50000,5.59,https://steamcdn-a.akamaihd.net/steam/apps/359250/header.jpg?t=1536664173,https://steamcdn-a.akamaihd.net/steam/apps/359250/page_bg_generated_v6b.jpg?t=1536664173,"Tundel has three evils – fools, roads and the mayor, who hides a UFO from the public. You are a successful journalist of a famous magazine. The Editor in Chief sends you to the town of Tundel on a mission to write about the mysterious incident. In order to complete the mission you'll need all your patience, wits and communication skills."
6748,400450,NeuroVoider,2016-08-31,1,Flying Oak Games,Dear Villagers,windows;mac;linux,0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;RPG,Indie;Action;RPG,38,317,87,177,177,20000-50000,10.59,https://steamcdn-a.akamaihd.net/steam/apps/400450/header.jpg?t=1554296188,https://steamcdn-a.akamaihd.net/steam/apps/400450/page_bg_generated_v6b.jpg?t=1554296188,"NeuroVoider is a twin-stick shooter RPG set in a cyber futuristic world about brains shooting around evil robots with nuclear rocket launchers. Battle through the horde of vigilant robots, boost your character with the smoking remains of your victims, and defeat the master NeuroVoider."
1638,230820,The Night of the Rabbit,2013-05-28,1,Daedalic Entertainment,Daedalic Entertainment,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Point & Click;Indie,17,1700,179,96,112,200000-500000,16.99,https://steamcdn-a.akamaihd.net/steam/apps/230820/header.jpg?t=1524052332,https://steamcdn-a.akamaihd.net/steam/apps/230820/page_bg_generated_v6b.jpg?t=1524052332,"Lose yourself in a tale of magic and wonder, where anything is possible and where nothing is quite as it seems: join young Jerry and follow a peculiar white rabbit to the wondrous realm of Mousewood, a land where critters can speak and where mystery abounds."
